INFO 2024-10-07 18:58:35,702 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-07 18:58:35,830 autoreload File /opt/anaconda3/lib/python3.12/_sysconfigdata__darwin_darwin.py first seen with mtime 1726864588.9519951
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/sqlparse/filters/tokens.py first seen with mtime 1728321043.7846527
DEBUG 2024-10-07 18:58:35,830 autoreload File /opt/anaconda3/lib/python3.12/wsgiref/simple_server.py first seen with mtime 1718723596.1208696
DEBUG 2024-10-07 18:58:35,830 autoreload File /opt/anaconda3/lib/python3.12/html/__init__.py first seen with mtime 1718723593.4759119
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/credit_card_bot/credit_card_bot/settings.py first seen with mtime 1728327514.3382235
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/contrib/sites/shortcuts.py first seen with mtime 1728321044.4804978
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/db/models/base.py first seen with mtime 1728321044.5705595
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/contrib/postgres/lookups.py first seen with mtime 1728321044.358142
DEBUG 2024-10-07 18:58:35,830 autoreload File /opt/anaconda3/lib/python3.12/logging/handlers.py first seen with mtime 1718723595.2571354
DEBUG 2024-10-07 18:58:35,830 autoreload File /opt/anaconda3/lib/python3.12/lib-dynload/_opcode.cpython-312-darwin.so first seen with mtime 1718723630.35792
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/contrib/sessions/apps.py first seen with mtime 1728321044.4396496
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/core/checks/caches.py first seen with mtime 1728321044.526021
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/rest_framework/views.py first seen with mtime 1728323231.6139014
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/views/decorators/common.py first seen with mtime 1728321044.6351895
DEBUG 2024-10-07 18:58:35,830 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/core/management/sql.py first seen with mtime 1728321044.544447
DEBUG 2024-10-07 18:58:35,831 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/core/wsgi.py first seen with mtime 1728321044.5238411
DEBUG 2024-10-07 18:58:35,831 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/db/models/fields/related_lookups.py first seen with mtime 1728321044.575132
DEBUG 2024-10-07 18:58:35,831 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/contrib/admin/views/autocomplete.py first seen with mtime 1728321044.0478833
DEBUG 2024-10-07 18:58:35,831 autoreload File /opt/anaconda3/lib/python3.12/unittest/util.py first seen with mtime 1718723595.9467688
DEBUG 2024-10-07 18:58:35,831 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/views/csrf.py first seen with mtime 1728321044.6338408
DEBUG 2024-10-07 18:58:35,831 autoreload File /opt/anaconda3/lib/python3.12/email/mime/__init__.py first seen with mtime 1718723592.243356
DEBUG 2024-10-07 18:58:35,831 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/db/migrations/operations/base.py first seen with mtime 1728321044.569245
DEBUG 2024-10-07 18:58:35,831 autoreload File /opt/anaconda3/lib/python3.12/wsgiref/util.py first seen with mtime 1718723596.1345322
DEBUG 2024-10-07 18:58:35,831 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/utils/text.py first seen with mtime 1728321044.6279478
DEBUG 2024-10-07 18:58:35,831 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/db/models/lookups.py first seen with mtime 1728321044.5719302
DEBUG 2024-10-07 18:58:35,831 autoreload File /opt/anaconda3/lib/python3.12/asyncio/runners.py first seen with mtime 1718723591.6416035
DEBUG 2024-10-07 18:58:35,831 autoreload File /opt/anaconda3/lib/python3.12/email/policy.py first seen with mtime 1718723592.2136374
DEBUG 2024-10-07 18:58:35,831 autoreload File /opt/anaconda3/lib/python3.12/lib-dynload/_random.cpython-312-darwin.so first seen with mtime 1718723631.3650022
DEBUG 2024-10-07 18:58:35,831 autoreload File /opt/anaconda3/lib/python3.12/asyncio/format_helpers.py first seen with mtime 1718723591.6022868
DEBUG 2024-10-07 18:58:35,831 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/contrib/admin/views/__init__.py first seen with mtime 1728321044.0476599
DEBUG 2024-10-07 18:58:35,831 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/contrib/contenttypes/apps.py first seen with mtime 1728321044.1639748
DEBUG 2024-10-07 18:58:35,836 autoreload File /opt/anaconda3/lib/python3.12/unittest/suite.py first seen with mtime 1718723595.9366765
DEBUG 2024-10-07 18:58:35,836 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/db/backends/base/client.py first seen with mtime 1728321044.5537412
DEBUG 2024-10-07 18:58:35,836 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/db/backends/signals.py first seen with mtime 1728321044.552951
DEBUG 2024-10-07 18:58:35,836 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/rest_framework/request.py first seen with mtime 1728323231.6109936
DEBUG 2024-10-07 18:58:35,836 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/db/backends/sqlite3/creation.py first seen with mtime 1728321044.5636084
DEBUG 2024-10-07 18:58:35,837 autoreload File /opt/anaconda3/lib/python3.12/email/headerregistry.py first seen with mtime 1718723592.187466
DEBUG 2024-10-07 18:58:35,837 autoreload File /opt/anaconda3/lib/python3.12/asyncio/exceptions.py first seen with mtime 1718723591.5975406
DEBUG 2024-10-07 18:58:35,837 autoreload File /opt/anaconda3/lib/python3.12/contextlib.py first seen with mtime 1718723590.5045326
DEBUG 2024-10-07 18:58:35,848 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/core/servers/basehttp.py first seen with mtime 1728321044.551666
